index	question	sentence	label
0	When did the third Digimon series begin?	Unlike the two seasons before it and most of the seasons that followed, Digimon Tamers takes a darker and more realistic approach to its story featuring Digimon who do not reincarnate after their deaths and more complex character development in the original Japanese.	not_entailment
1	Which missile batteries often have individual launchers several kilometres from one another?	When MANPADS is operated by specialists, batteries may have several dozen teams deploying separately in small sections; self-propelled air defence guns may deploy in pairs.	not_entailment
2	What two things does Popper argue Tarski's theory involves in an evaluation of truth?	He bases this interpretation on the fact that examples such as the one described above refer to two things: assertions and the facts to which they refer.	entailment
3	What is the name of the village 9 miles north of Calafat where the Ottoman forces attacked the Russians?	On 31 December 1853, the Ottoman forces at Calafat moved against the Russian force at Chetatea or Cetate, a small village nine miles north of Calafat, and engaged them on 6 January 1854.	entailment
4	What famous palace is located in London?	London contains four World Heritage Sites: the Tower of London; Kew Gardens; the site comprising the Palace of Westminster, Westminster Abbey, and St Margaret's Church; and the historic settlement of Greenwich (in which the Royal Observatory, Greenwich marks the Prime Meridian, 0° longitude, and GMT).	not_entailment
5	When is the term 'German dialects' used in regard to the German language?	When talking about the German language, the term German dialects is only used for the traditional regional varieties.	entailment
6	What was the name of the island the English traded to the Dutch in return for New Amsterdam?	At the end of the Second Anglo-Dutch War, the English gained New Amsterdam (New York) in North America in exchange for Dutch control of Run, an Indonesian island.	entailment
7	How were the Portuguese expelled from Myanmar?	From the 1720s onward, the kingdom was beset with repeated Meithei raids into Upper Myanmar and a nagging rebellion in Lan Na.	not_entailment
8	What does the word 'customer' properly apply to?	The bill also required rotation of principal maintenance inspectors and stipulated that the word "customer" properly applies to the flying public, not those entities regulated by the FAA.	entailment
9	What did Arsenal consider the yellow and blue colors to be after losing a FA Cup final wearing red and white?	Arsenal then competed in three consecutive FA Cup finals between 1978 and 1980 wearing their "lucky" yellow and blue strip, which remained the club's away strip until the release of a green and navy away kit in 1982–83.	entailment
10	Who starred in 'True Love'?	The show starred Ted Danson as Dr. John Becker, a doctor who operated a small practice and was constantly annoyed by his patients, co-workers, friends, and practically everything and everybody else in his world.	not_entailment
11	Who was elected as the Watch Tower Society's president in January of 1917?	His election was disputed, and members of the Board of Directors accused him of acting in an autocratic and secretive manner.	not_entailment
12	What do most open education sources offer?	The conventional merit-system degree is currently not as common in open education as it is in campus universities, although some open universities do already offer conventional degrees such as the Open University in the United Kingdom.	not_entailment
13	Which collection of minor poems are sometimes attributed to Virgil?	A number of minor poems, collected in the Appendix Vergiliana, are sometimes attributed to him.	entailment
14	While looking for bugs, what else can testing do?	Although testing can determine the correctness of software under the assumption of some specific hypotheses (see hierarchy of testing difficulty below), testing cannot identify all the defects within software.	not_entailment
15	How much hydroelectric power can be generated?	The state is also the first state in India to achieve the goal of having a bank account for every family.[citation needed]	not_entailment
16	What two people were killed inside the store?	The dead included two men from Northern California who had merely been visiting the store's owner, their cousin, to see if they could open a similar store in their area.	not_entailment
17	How is Nirvana achieved?	In Theravada Buddhism, the ultimate goal is the attainment of the sublime state of Nirvana, achieved by practicing the Noble Eightfold Path (also known as the Middle Way), thus escaping what is seen as a cycle of suffering and rebirth.	entailment
18	What conflict overseen by President Polk might be the source of Tennessee's nickname?	This explanation is more likely, because President Polk's call for 2,600 nationwide volunteers at the beginning of the Mexican-American War resulted in 30,000 volunteers from Tennessee alone, largely in response to the death of Davy Crockett and appeals by former Tennessee Governor and now Texas politician, Sam Houston.	not_entailment
19	In Chinese Buddhism what meditation is more popular?	According to Routledge's Encyclopedia of Buddhism, in contrast, throughout most of Buddhist history before modern times, serious meditation by lay people has been unusual.	not_entailment
20	When did European sport clubs begin to form in the Ottoman empire?	The main sports Ottomans were engaged in were Turkish Wrestling, hunting, Turkish archery, horseback riding, Equestrian javelin throw, arm wrestling, and swimming.	not_entailment
21	What part of their motherboards does Dell not reveal the specifications of?	While motherboard power connections reverted to the industry standard in 2003, Dell continues to remain secretive about their motherboard pin-outs for peripherals (such as MMC readers and power on/off switches and LEDs).	entailment
22	What was the highest order of species n land?	The climate was much more humid than the Triassic, and as a result, the world was very tropical.	not_entailment
23	What did Darwin speculate might be how inheritable variations might come about in a species?	Darwin also admitted ignorance of the source of inheritable variations, but speculated they might be produced by environmental factors.	entailment
24	The environmental intervention was linked to the conceptualization of what process?	Between 1791 and 1833, Saint Helena became the site of a series of experiments in conservation, reforestation and attempts to boost rainfall artificially.	not_entailment
25	How much of the Bronx vote did Hillquit get in 1917?	The only Republican to carry the Bronx since 1914 was Fiorello La Guardia in 1933, 1937 and 1941 (and in the latter two elections, only because his 30-32% vote on the American Labor Party line was added to 22-23% as a Republican).	not_entailment
26	What is restricted unless the film has a traditional theater release?	Deaner further explained the matter in terms of the Australian film industry, stating: "there are currently restrictions on quantities of tax support that a film can receive unless the film has a traditional cinema release."	entailment
27	Along with Bermuda, what other English colony did many settlers come from?	Among these were free people of color, born in the West Indies of alliances and marriages between Africans and Englanders, when color lines were looser among the working class in the early colonial years, and some wealthy whites took black consorts or concubines.	not_entailment
28	How does aposematism help a species population?	While that particular prey organism may be killed, the coloring benefits the prey species as a whole.	not_entailment
29	What does confrontational scavenging involve doing to other predators after they've made a kill?	Robert Blumenschine proposed the idea of confrontational scavenging, which involves challenging and scaring off other predators after they have made a kill, which he suggests could have been the leading method of obtaining protein-rich meat by early humans.	entailment
30	Why were dogs initially selected?	Unlike other domestic species which were primarily selected for production-related traits, dogs were initially selected for their behaviors.	entailment
31	In what century was the church established at the location?	Construction of the present church began in 1245, on the orders of King Henry III.	not_entailment
32	What is the term that refers to areas where an antennas radiation is zero?	The radiation of many antennas shows a pattern of maxima or "lobes" at various angles, separated by "nulls", angles where the radiation falls to zero.	entailment
33	What did the abbot remain as a town built around the abbey?	The proximity of the Palace of Westminster did not extend to providing monks or abbots with high royal connections; in social origin the Benedictines of Westminster were as modest as most of the order.	not_entailment
34	What library was estimated to have 700,000 volumes?	The city of Pergamon also had a large library and became a major center of book production.	not_entailment
35	What was Zhejiang formerly romanized as?	Zhejiang is bordered by Jiangsu province and Shanghai municipality to the north, Anhui province to the northwest, Jiangxi province to the west, and Fujian province to the south; to the east is the East China Sea, beyond which lie the Ryukyu Islands of Japan.	not_entailment
36	Who did the children work beside?	In many cases, men worked from home.	not_entailment
37	Who was the Bishop in this time frame?	Construction of the present church began in 1245, on the orders of King Henry III.	not_entailment
